ein,name,IRS_sub_name,address,city,state,zipcode,subsection_code,ntee_code,site_url,mission,like_understood
470993488,1 FOR 2 EDUCATION FOUNDATION,1 FOR 2 EDUCATION FOUNDATION,PO BOX 2118,HOWELL,MI,48844-2118,501(c)(3),B82,http://www.1for2edu.com/,,0
461082061,1 FOR HIM,1 FOR HIM ,886 PETERSBURG DR,FORT MILL,SC,29708-5710,501(c)(3),,,,0
263664326,1 FOR HUMANITY,1 FOR HUMANITY,4118 SCOTT AVE N,MINNEAPOLIS,MN,55422-1751,501(c)(3),P122,http://www.onepercentforhumanity.org/,"1% FOR HUMANITY EXISTS TO INSPIRE AND FACILITATE SUSTAINABLE, LONG-TERM, PRIVATE-SECTOR GIVING THAT INTENTIONALLY FIGHTS EXTREME POVERTY AND INJUSTICE IN THE WORLD'S TOUGHEST PLACES.",3
311804676,1 FOR LIFE MINISTRIES,1 FOR LIFE MINISTRIES,504 NATCHEZ TRCE,JEFFERSON CTY,MO,65109-6275,501(c)(3),P20,http://www.1forlifeministries.com/,MARRIAGE AND FAMILY SEMINARS,1
912151932,1 FOR THE PLANET INC,1 FOR THE PLANET INC,47 MAPLE ST STE 103,BURLINGTON,VT,05401-4791,501(c)(3),C27,http://www.onepercentfortheplanet.org/,1% for the Planet is a global organization that connects dollars and doers to address the most pressing issues facing our planet.,4
454725219,1 FOREVER UNITED,1 FOREVER UNITED,1524 2ND AVE NE,ROCHESTER,MN,55906,501(c)(3),G80,,,0
852234913,1 FOUNDATION INC,1 FOUNDATION INC,63464 260TH ST,LITCHFIELD,MN,55355-5301,501(c)(3),B82,,,0
900070372,1 FOX 2 PRODUCTIONS INC,1 FOX 2 PRODUCTIONS INC,7600 CHEVY CHASE DR BLD 3 STE 300,AUSTON,TX,78752-1599,501(c)(3),F21,http://www.1f2p.org/,To be proactive in the community making roads safer from those who endangers our lives.,2
823270255,1 FREEDOM FOR ALL,1 FREEDOM FOR ALL,237 MCCLELLAN ST,BRONX,NY,10456-4805,501(c)(3),S20,http://1freedom.org/,,0
465204545,1 FUR 1 FOUNDATION,1 FUR 1 FOUNDATION ,341 ANTHONY RD,BUFFALO GROVE,IL,60089-4304,501(c)(3),P99,http://www.1fur1.org/,"1 FUR 1 Foundation helps animal assisted programs survive, thrive and spread healing powers to children and seniors with disabilities, always free-of-charge. Our mission is to support mutually beneficial endeavors that enhances the lives of animals and people in need.",8
823648374,1 GHANA PROJECT,1 GHANA PROJECT,11210 4TH ST APT 3221,RCH CUCAMONGA,CA,91730-6066,501(c)(3),A20,,,0
453053826,1 GIANT MIND INC,1 GIANT MIND INC,13428 MAXELLA AVE 253,NMARINA DEL REY,CA,90292-5620,501(c)(3),U50,http://1giantmind.org/,1 Giant Mind is a global non-profit,1
272837032,1 GOAL,1 GOAL,21 NOTTINGHAM CT,COLUMBIA,SC,29209-3162,501(c)(3),N62,,,0
300426352,1 GOAL CONSULTANTS,1 GOAL CONSULTANTS,5108 S MCCOY ST,INDEPENDENCE,MO,64055-5548,501(c)(3),Q30,,,0
473002865,1 GOOD TURN CAMPAIGN,1 GOOD TURN CAMPAIGN,7523 IRIDIUM CT,CASTLE ROCK,CO,80108-3094,501(c)(3),P20,,,0
463802710,1 GRAIN TO 1000 GRAINS,1 GRAIN TO 1000 GRAINS,2120 AVY AVENUE 7815,MENLO PARK,CA,94025-6518,501(c)(3),K40,,"Enhancing the health of under-resourced communities, one family at a time. 1 Grain to 1000 Grains nourishes the aspirations of families, as it collaborates to vitalize the communities they live in. Through its programs families discover intuitive and actionable plans for more healthful eating and financial bandwidth. Each participating family fosters healthful living for many families - from one grain springs thousands.",7
271030377,1 GREEN PLANET,1 GREEN PLANET,850 SW 7TH ST STE 200,RENTON,WA,98057,501(c)(3),C27,http://www.1greenplanet.org/,Our mission is to provide free recycling to everyone our operations and programs are funded through public donations and by the revenue received from donated recycled materials,3
822976624,1 HAPPY TRIBE INTERNATIONAL,1 HAPPY TRIBE INTERNATIONAL,8303 HAYDEN COVE DR,TOMBALL,TX,77375-4729,501(c)(3),F60,,,0
464569675,1 HEALING RAIN MINISTRIES INCORPORATED,1 HEALING RAIN MINISTRIES INCORPORATED ,757 POST AVE,CORP CHRISTI,TX,78405-2829,501(c)(3),X20,,,0
851346093,1 HEALTH ARTS AND SCIENCES,1 HEALTH ARTS AND SCIENCES,5000 APACHE ST,COLLEGE PARK,MD,20740-1951,501(c)(3),A40,,,0
850501731,1 HEART,1 HEART,348 LIVE OAKS DR,MILLBROOK,AL,36054-2509,501(c)(3),B12,,,0
465343112,1 HEART 1 MISSION,1 HEART 1 MISSION,11961 WHITE OAK RUN,CONROE,TX,77385-2746,501(c)(3),Z99,http://www.1h1m.org/,,0
205541004,1 HEART AT A TIME INC,1 HEART AT A TIME INC,2466 ROYAL AVE,SIMI VALLEY,CA,93065-4762,501(c)(3),P20,,,0
301170044,1 HOPE FOUNDATION INC,1 HOPE FOUNDATION INC,3451 N ANDREWS AVE,OAKLAND PARK,FL,33309-6059,501(c)(3),P20,,,0
823848202,1 HORSE AT A TIME DRAFT HORSE RESCUE INC,1 HORSE AT A TIME DRAFT HORSE RESCUE INC,326 POPHAM LN,CORVALLIS,MT,59828-9627,501(c)(3),D20,http://www.1horseatatime.com/,"To save unwanted, neglected and abused draft horses from going to slaughter.",2
820755266,1 HUMANITY FOR PEACE,1 HUMANITY FOR PEACE,614 S CLOVERDALE AVE APT 6,LOS ANGELES,CA,90036-4111,501(c)(3),A50,http://www.1hupe.org/,,0
474714415,1 IN 3 FOUNDATION,1 IN 3 FOUNDATION,PO BOX 216,FLINT,TX,75762-0216,501(c)(3),P80,http://www.1in3foundation.org/,,0
823119994,1 IN 68 FOUNDATION,1 IN 68 FOUNDATION,3712 BARRINGTON BRIDGE PL,HENRICO,VA,23233-1722,501(c)(3),G01,https://www.onein68foundation.org/,"The goal of the One In 68 Foundation is to promote educational and career success for individuals on the autism spectrum with a focus on students in the 8th-12th grades.

​",3
844436370,1 IN 7B FOUNDATION,1 IN 7B FOUNDATION,162 WALNUT RUN RD,LANDENBERG,PA,19350-9305,501(c)(3),P85,,,0
113195645,1 IN 9 THE LONG ISLAND BREAST CANCER ACTION COALITION,1 IN 9 THE LONG ISLAND BREAST CANCER ACTION COALITION,86 E ROCKAWAY RD,HEWLETT,NY,11557-1736,501(c)(3),G30Z,http://www.hewletthouse.org/,"IT IS OUR MISSION TO PROMOTE AWARENESS OF THE CANCER EPIDEMIC THROUGH EDUCATION, OUTREACH, ADVOCACY, AND DIRECT SUPPORT OF RESEARCH, WHICH IS BEING DONE TO FIND THE CAUSES OF, AND CURES FOR BREAST CANCER AND OTHER RELATED CANCERS.",5
845058809,1 JOHN 3 18,1 JOHN 3 18,415 CONRAD,BUFFALO,WY,82834-2551,501(c)(3),P12,,,0
264748358,1 JOHN 3 MINISTRIES,1 JOHN 3 MINISTRIES,1387 HIGHWAY 56 S,CLINTON,SC,29325-5298,501(c)(3),L25,,,0
813828263,1 LATHAM COMMUNITY DEVELOPMENT CORPORATION INC,1 LATHAM COMMUNITY DEVELOPMENT CORPORATION INC,4420 COOSADA RD,MILLBROOK,AL,36054-3335,501(c)(3),P20,http://www.1latham.com/,,0
453733037,1 LESS HUNGRY KID INC,1 LESS HUNGRY KID INC,13680 W SAN JUAN AVE,LITCHFIELD PK,AZ,85340-3312,501(c)(3),K34,,,0
320390762,1 LIFE 1 CHILD,1 LIFE 1 CHILD,1530 261ST ST UNIT 301,HARBOR CITY,CA,90710-3934,501(c)(3),P20,,,0
273414165,1 LIFE FOUNDATION,1 LIFE FOUNDATION,1415 PULLEN RD APT C,TALLAHASSEE,FL,32303-3657,501(c)(3),J20,,,0
274590344,1 LIFE FULLY LIVED,1 LIFE FULLY LIVED,PO BOX 1712,PORTOLA,CA,96122-1712,501(c)(3),N50,http://1lifefullylived.org/,Assist struggling young adults in finding their purpose in life to live successfully.,2
472824429,1 LIFE INC,1 LIFE INC,10 WILLOW ROAD SUITE 207,MAPLE SHADE,NJ,08052-1609,501(c)(3),X20,http://www.onelifeinc.org/,,0
474585185,1 LIFE MISSIONS INC,1 LIFE MISSIONS INC,1046 ROYAL RD,VENICE,FL,34293-6209,501(c)(3),X20,,,0
851122339,1 LIFFE,1 LIFFE,1221 40TH ST APT 309,EMERYVILLE,CA,94608-3668,501(c)(3),T50,,,0
731627224,1 LIQUID HOUSE,1 LIQUID HOUSE,6668 LYNX CV,LITTLETON,CO,80124-9548,501(c)(3),O20,http://www.thehappycrew.org/,"Happy Crew campaigns to destigmatize mental health issues by creating community and sharing the message #YOUMATTER #YOUBELONG. We equip Happy Crews in every school with Active Listening Training, suicide prevention skills, and tools to ask the right questions when friends are experiencing mental health issues.",7
454673257,1 LITTLE MEAL INC,1 LITTLE MEAL INC,14 LAKE EAGLE CT NE,CARTERSVILLE,GA,30121-8155,501(c)(3),K34,http://www.1littlemeal.com/,"1 Little Meal’s (1LM) mission is to challenge food insecurity and provide shelter to displaced individuals nationally.   Nutritious meals and proper housing ensure mental and physical security and enable individuals to reach their academic, mental, and physical potential.  By reaching out into the community through philanthropic outreach and exercising free food and housing opportunities, we are closer to reaching our goal of assuring a world of civility and humanity.",5
820639427,1 LOCAL URBAN VILLAGE,1 LOCAL URBAN VILLAGE ,1334 66TH AVE,PHILADELPHIA,PA,19126-3215,501(c)(3),B90,,,0
475505568,1 LOVE CHARITABLE FOUNDATION,1 LOVE CHARITABLE FOUNDATION,909 BLUE QUAIL RUN,GLENN HEIGHTS,TX,75154-8444,501(c)(3),B90,https://1lovecharitablefoundation.com/,,0
462929874,1 LOVE DOG RESCUE INC,1 LOVE DOG RESCUE INC,4910 SIERRA COLLEGE BLVD,ROCKLIN,CA,95677-3804,501(c)(3),D20,http://1lovedogrescue.org/,"
Our focus is all and every dog in need of a good home, or on their way to a shelter, or being sold to breeders. We work directly with the public to help re-home their dogs as an alternative to shelters, or selling a dog to the random public. We drive long distances to save these precious animals, from Sacramento North to Redding, South to Bakersfield and L.A. west to the Bay Area and all point",7
660944027,1 LOVE SATO ADOPTIONS INC,1 LOVE SATO ADOPTIONS INC,642 GOLFO DE ALASKA LOS CORALES 1,DORADO,PR,00646-0000,501(c)(3),D20,,,0
364659668,1 LUCKY DOG RESCUE,1 LUCKY DOG RESCUE,PO BOX 171425,HIALEAH,FL,33017-1425,501(c)(3),D20,,,0
475559047,1 MARINE 1 LIFE FOUNDATION,1 MARINE 1 LIFE FOUNDATION,1800 3RD AVE STE 309,ROCK ISLAND,IL,61201-8019,501(c)(3),Y12,http://1marine1life.org/,"1 Marine 1 Life Foundation's mission is to inspire one person at a time to serve the community, one project at a time.",3
843464855,1 MEAL AT A TIME INC,1 MEAL AT A TIME INC,9822 S NORMAL AVE,CHICAGO,IL,60628-1213,501(c)(3),P20,,,0
842249717,1 MICHIGAN FOR THE GLOBAL MAJORITY INC,1 MICHIGAN FOR THE GLOBAL MAJORITY INC,1920 SCOTTEN ST,DETROIT,MI,48209-1648,501(c)(3),S21,,,0
453102803,1 MILLION 4 ANNA FOUNDATION,1 MILLION 4 ANNA FOUNDATION,15301 DALLAS PARKWAY,ADDISON,TX,75001-4691,501(c)(3),H123,http://www.1million4anna.org/,ERADICATE EWINGS SARCOMA AND PROVIDE SUPPORT TO THOSE SUFFERING WITH THIS DISEASE AND THEIR FAMILIES.,4
823323753,1 MILLION GUITARS,1 MILLION GUITARS,603 GREENWICH ST,NEW YORK,NY,10014-3696,501(c)(3),A68,,PROVIDE MUSICAL INSTRUMENTS TO UNDER PRIVILEGED CHILDREN,1
843081725,1 MINISTRIES,1 MINISTRIES,342 PEAR TREE AVE,GOODLAND,FL,34140-0000,501(c)(3),X12,,,0
460688005,1 MORE,1 MORE,PO BOX 1505,ALABASTER,AL,35007-2063,501(c)(3),S30,,,0
830882164,1 MORE 24 INC,1 MORE 24 INC,1652 W LINDBERG ST,SPRINGFIELD,MO,65807-2223,501(c)(3),F22,,,0
475432352,1 MORE KID,1 MORE KID,708 E COLONIAL DR STE 200,ORLANDO,FL,32803-4652,501(c)(3),S20,,,0
821369299,1 MORE PAYCHECK INC,1 MORE PAYCHECK INC,109 SE GATE DR,CHERRY HILL,NJ,08003-2635,501(c)(3),T50,,,0
463312968,1 MORE WIN,1 MORE WIN,3555 4TH AVE,SAN DIEGO,CA,92103-4912,501(c)(3),O50,http://www.1morewin.org/,"To provide aid to high school sports programs in San Diego, CA to help obtain equipment, training and other resources necessary to ensure the experience for student athletes.",8
462122797,1 MOVEMENT FOUNDATION INC,1 MOVEMENT FOUNDATION INC,1319 RAILFENCE DR,KINSTON,NC,28504-8971,501(c)(3),O50,,,0
842935375,1 NATION OF POWER,1 NATION OF POWER,601 MONROE ST,VALDOSTA,GA,31601-3757,501(c)(3),O50,,,0
832162699,1 NATION UNDER GRACE INC,1 NATION UNDER GRACE INC,5200 BEAVER CREEK AVE,DENTON,TX,76207-1716,501(c)(3),P20,,,0
474495570,1 NATION UNDER PAWS,1 NATION UNDER PAWS,15462 FILAREE,MORENO VALLEY,CA,92551-0000,501(c)(3),D20,,,0
274027562,1 NEW HEART,1 NEW HEART,949 SNYDER RD,MOUNT JOY,PA,17552-8535,501(c)(3),G43,http://www.1newheart.org/,TREATMENT AND CARE FOR CHILDREN,1
851636747,1 OAK INC,1 OAK INC ,PO BOX 310294,FLINT,MI,48531-0294,501(c)(3),O51,,,0
821230809,1 OASIS WAY A NJ NONPROFIT CORPORATION,1 OASIS WAY A NJ NONPROFIT CORPORATION,685 BLOOMFIELD AVE STE 202,VERONA,NJ,07044-1600,501(c)(3),K99,,,0
843212936,1 OF US,1 OF US ,6320 BURBANK CROSSING LOOP,MONTGOMERY,AL,36117-3183,501(c)(3),X12,,,0
274754653,1 OF US INC,1 OF US INC,8024 GLENWOOD AVE,RALEIGH,NC,27612-1912,501(c)(3),G12,http://www.1ofus.org/,"The mission of 1of Us is to offer aid and support to breast cancer patients, patients with all women's cancers  and their families, facing financial crisis due to the diagnosis of this disease, by providing direct economic assistance for their unique non-medical needs which might otherwise prevent them from receiving or completing their treatment.",6
264570016,1 ON 1 EDUCATION INC,1 ON 1 EDUCATION INC,9801 CHALMERS ST,DETROIT,MI,48213,501(c)(3),B90,,TUTORING SERVICES TO CHILDREN,0
815069406,1 ON 1 MENTORING,1 ON 1 MENTORING,512 CAMPBELL ST,BAINBRIDGE,GA,39819-4417,501(c)(3),O30,http://www.1on1mentoring.com/,,0
821720226,1 ON 1 PERSONAL DEVELOPMENT INC,1 ON 1 PERSONAL DEVELOPMENT INC,PO BOX 830542,STONE MTN,GA,30083-0010,501(c)(3),X20,http://www.1on1personaldevelopment.com/,"1 on 1 Personal Development's mission is to enable, encourage and empower my sisters and brothers from youth to adulthood to locate the missing piece(s) that are needed to live bold, free and victorious lifestyles, complete in mind, soul and spirit.",2
822403545,1 ON EVERY OFFICER INC,1 ON EVERY OFFICER INC,10049 NORWICH AVE,MISSION HILLS,CA,91345-3007,501(c)(3),I01,http://1oneveryofficer.com/,SUPPORT PUBLICE SAFTEY OFFICERS,1
823066718,1 ONE COMMUNITY,1 ONE COMMUNITY,201 RENO AVE,MEMPHIS,TN,38107-1845,501(c)(3),O50,,,0
264792317,1 OSS HERITAGE FOUNDATION,1 OSS HERITAGE FOUNDATION ,120 EAST FLIGHTLINE RD,LANGLEY AFB,VA,23665-0000,501(c)(3),P20,,,0
821690789,1 PARTY AT A TIME,1 PARTY AT A TIME,108 SUE ANN CT APT B,CARRBORO,NC,27510-1355,501(c)(3),A20,,,0
830682097,1 PASSION CORP,1 PASSION CORP,4851 W HILLSBORO BLVD STE A2,COCONUT CREEK,FL,33073-4355,501(c)(3),X20,,,0
471358268,1 PATH INC,1 PATH INC ,8602 BLACKMON RD,MIDLAND,GA,31820-3431,501(c)(3),P99,,,0
364912784,1 PERCENT FOR NATURE INC,1 PERCENT FOR NATURE INC,PO BOX 282,STROUDSBURG,PA,18360-0282,501(c)(3),C30,,,0
841576444,1 PERCENT FOR OPEN SPACE INC,1 PERCENT FOR OPEN SPACE INC,PO BOX 1974,CRESTED BUTTE,CO,81224-1974,501(c)(3),C05,,"THE ORGANIZATION RECEIVES DONATIONS, THEN USES THE FUNDS TO HELP SUPPORT AND FUND OPEN SPACE PROJECTS IN GUNNISON COUNTY, COLORADO.",6
264273263,1 PETER 4-10 FOUNDATION INC,1 PETER 4-10 FOUNDATION INC,7300 N COMANCHE AVE,WARR ACRES,OK,73132-6635,501(c)(3),T20,,,0
821400459,1 PIECE EACH CORPORATION,1 PIECE EACH CORPORATION ,710 W BAY ST,TAMPA,FL,33606-2765,501(c)(3),C60,,of our planet to people of all ages around the world,1
